Año,Fecha,Estado,Organizacion,Unidad,Sector,Nombre_Interaccion,ID_Proyecto,Categoria,Tipo,Impacto Directo,Impacto Indirecto,Asistentes,Tipo de participación,Justificación de asistencia de EC,Resultado del evento,
2025,30/10/2025,HDL,IPN,REINVA,Institución Académica,Workshop REINVA ,PH_18,Transferencia de conocimiento,Workshop,14,,Othon G.,,,,
2025,30/10/2025,QRO,DISTRITO QRO,"COMISION DE INNOVACIÓN, INVESTIGACIÓN Y EMPRENDIMIENTO",Cluster,Reunión Comisión de Investigación  - Sesión con Startups del ecosistema,PQ_8,Estratégica,Reunión,,,,,,,
2025,05/11/2025,QRO,ITESM QRO,AREA CENTRAL,Institución Académica,Global Innovation Summit,NA,Estratégica,Evento,70,,Maryel D. /Ali M. / David P/ Jonathan H. /Miguel C.,,,,
2025,19/11/2025,QRO,DISTRITO QRO,"COMISION DE INNOVACIÓN, INVESTIGACIÓN Y EMPRENDIMIENTO",Cluster,Sesión Corporate Think Thank,PQ_8,Estratégica,Mesa de trabajo,,,Maryel D,,,,
2025,24/11/2025,QRO,LIDER EMPRESARIAL,NA,Sector Privado,Gala Líder Empresarial ,NA,Relacionamiento,Evento,,,David P.,,,,
2025,27/11/2025,QRO,DISTRITO QRO,"COMISION DE INNOVACIÓN, INVESTIGACIÓN Y EMPRENDIMIENTO",Cluster,"DistritoQRO Café, Taller Ciudades Inteligentes",PQ_8,Transferencia de conocimiento,Workshop,20,,Maryel D y Monica,,,,
2025,01/12/2025,QRO,DISTRITO QRO,"COMISION DE INNOVACIÓN, INVESTIGACIÓN Y EMPRENDIMIENTO",Cluster,Sesión Cierre Anual Comité Innovación,PQ_8,Estratégica,Reunión,,,Maryel D.,,,,
2025,04/12/2025,QRO,CEQ,NA,Cluster,Asamble Cluster de Energía de Qro,NA,Estratégica,Evento,,,Maryel D,,,,
2025,08/12/2025,QRO,UPQ,AREA CENTRAL,Institución Académica,Premio Aliado Cardenal ,NA,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
