Proyecto (TAE),Curso ,Proovedor ,RFC,Duración ,Cupo (Comprometido),Cupo (Reales) ,Monto total (ejercido),Hombres ,Mujeres ,"<=$100,000.00",">$100,000.00",Aportación Coecytjal ,% Coecytjal,Planta ,CoC,,,,,
2022,Train de Trainers ,General Physics,GPC971119H4,24.00,8.00,8.00," $142,275.00 ",3.00,5.00,No,Sí," $18,600.00 ",13.07%,Periferico ,Otros ,,,,,
2022,C++ (fundamentals) ,General Physics,GPC971119H4,48.00,14.00,14.00," $131,565.00 ",14.00,0.00,No,Sí," $68,285.00 ",51.90%,Periferico ,Otros ,,,,,
2022,SE ISTQB - Agile Tester ,General Physics,GPC971119H4,6.00,7.00,7.00," $79,247.70 ",7.00,0.00,Sí,No," $25,720.10 ",32.46%,Periferico ,SW + SYS Architecture,,,,,
2022,SCRUM PLAI ,PLAi,PAI191229QC8,1.00,100.00,100.00," $90,721.00 ",88.00,12.00,Sí,No," $45,360.50 ",50.00%,Santa Anita ,SW + SYS Architecture,,,,,
2023,Seguridad para sistemas embebidos automotrices ,ITESO,ITE570731PS9,125.00,52.00,52.00," $943,708.75 ",49.00,3.00,No,Sí," $471,854.38 ",50.00%,Santa Anita ,Cybersecurity,,,,,
2023,IREB,General Physics,GPC971119H4,24.00,27.00,27.00," $418,162.50 ",23.00,4.00,No,Sí," $209,081.25 ",50.00%,Santa Anita ,SW + SYS Architecture,,,,,
2023,ISTQB ,General Physics,GPC971119H4,24.00,15.00,15.00," $110,250.00 ",14.00,1.00,No,Sí," $55,125.00 ",50.00%,Santa Anita ,SW + SYS Architecture,,,,,
2023,Linux ,General Physics,GPC971119H4,60.00,50.00,50.00," $315,000.00 ",41.00,9.00,No,Sí," $157,500.00 ",50.00%,Santa Anita ,SW + SYS Architecture,,,,,
2023,ASPICE,General Physics,GPC971119H4,120.00,6.00,6.00," $166,425.00 ",6.00,0.00,No,Sí," $83,212.50 ",50.00%,Santa Anita ,SW + SYS Architecture,,,,,
2023,Advance cibersecurity ,General Physics,GPC971119H4,170.00,10.00,10.00," $498,792.00 ",10.00,0.00,No,Sí," $249,396.00 ",50.00%,Santa Anita ,Cybersecurity,,,,,
